Column 3| A:0	C:0	G:0	T:0	-:94	
Likelihood	Scale	Scale2
-58.840523	0.123253	1.000000
-58.840424	0.118192	1.000000
-58.840424	0.118193	1.000000
-58.840424	0.118194	1.000000
-58.840166	0.104945	1.000000
-58.840166	0.104946	1.000000
-58.840166	0.104947	1.000000
-58.839786	0.085449	1.000000
-58.839786	0.085450	1.000000
-58.839786	0.085451	1.000000
-58.839406	0.065950	1.000000
-58.839406	0.065951	1.000000
-58.839406	0.065952	1.000000
-58.839387	0.064959	1.000000
-58.839387	0.064960	1.000000
-58.839387	0.064961	1.000000
-58.839320	0.061543	1.000000
-58.839320	0.061544	1.000000
-58.839320	0.061545	1.000000
-58.839278	0.059397	1.000000
-58.839278	0.059398	1.000000
-58.839278	0.059399	1.000000
-58.838898	0.039906	1.000000
-58.838898	0.039907	1.000000
-58.838898	0.039908	1.000000
-58.838580	0.023573	1.000000
-58.838580	0.023574	1.000000
-58.838580	0.023575	1.000000
-58.838514	0.020183	1.000000
-58.838514	0.020184	1.000000
-58.838514	0.020185	1.000000
-58.838486	0.018747	1.000000
-58.838486	0.018748	1.000000
-58.838486	0.018749	1.000000
-58.838120	0.000001	1.000000
-58.838120	0.000002	1.000000
-58.838120	0.000003	1.000000
-58.838120	0.000001	1.000000
Column 8| A:0	C:0	G:0	T:0	-:23	
Likelihood	Scale	Scale2
-47.518713	1.000000	1.000000
-47.518713	1.000000	1.000000
-47.518713	1.000001	1.000000
-47.518713	1.000002	1.000000
-47.518639	0.995321	1.000000
-47.518639	0.995322	1.000000
-47.518639	0.995323	1.000000
-47.518543	0.989164	1.000000
-47.518543	0.989165	1.000000
-47.518543	0.989166	1.000000
-47.518298	0.973499	1.000000
-47.518298	0.973500	1.000000
-47.518298	0.973501	1.000000
-47.518052	0.957835	1.000000
-47.518052	0.957836	1.000000
-47.518052	0.957837	1.000000
-47.517807	0.942172	1.000000
-47.517807	0.942173	1.000000
-47.517807	0.942174	1.000000
-47.517748	0.938411	1.000000
-47.517748	0.938412	1.000000
-47.517748	0.938413	1.000000
-47.517503	0.922745	1.000000
-47.517503	0.922746	1.000000
-47.517503	0.922747	1.000000
-47.517257	0.907081	1.000000
-47.517257	0.907082	1.000000
-47.517257	0.907083	1.000000
-47.517196	0.903173	1.000000
-47.517196	0.903174	1.000000
-47.517196	0.903175	1.000000
-47.516951	0.887509	1.000000
-47.516951	0.887510	1.000000
-47.516951	0.887511	1.000000
-47.516706	0.871845	1.000000
-47.516706	0.871846	1.000000
-47.516706	0.871847	1.000000
-47.516496	0.858486	1.000000
-47.516496	0.858487	1.000000
-47.516496	0.858488	1.000000
-47.516251	0.842824	1.000000
-47.516251	0.842825	1.000000
-47.516251	0.842826	1.000000
-47.516006	0.827161	1.000000
-47.516006	0.827162	1.000000
-47.516006	0.827163	1.000000
-47.515887	0.819585	1.000000
-47.515887	0.819586	1.000000
-47.515887	0.819587	1.000000
-47.515838	0.816485	1.000000
-47.515838	0.816486	1.000000
-47.515838	0.816487	1.000000
-47.515725	0.809258	1.000000
-47.515725	0.809259	1.000000
-47.515725	0.809260	1.000000
-47.515605	0.801552	1.000000
-47.515605	0.801553	1.000000
-47.515605	0.801554	1.000000
-47.515359	0.785887	1.000000
-47.515359	0.785888	1.000000
-47.515359	0.785889	1.000000
-47.515212	0.776508	1.000000
-47.515212	0.776509	1.000000
-47.515212	0.776510	1.000000
-47.515129	0.771171	1.000000
-47.515129	0.771172	1.000000
-47.515129	0.771173	1.000000
-47.514949	0.759689	1.000000
-47.514949	0.759690	1.000000
-47.514949	0.759691	1.000000
-47.514703	0.744022	1.000000
-47.514703	0.744023	1.000000
-47.514703	0.744024	1.000000
-47.514458	0.728357	1.000000
-47.514458	0.728358	1.000000
-47.514458	0.728359	1.000000
-47.514213	0.712691	1.000000
-47.514213	0.712692	1.000000
-47.514213	0.712693	1.000000
-47.513967	0.697028	1.000000
-47.513967	0.697029	1.000000
-47.513967	0.697030	1.000000
-47.513722	0.681362	1.000000
-47.513722	0.681363	1.000000
-47.513722	0.681364	1.000000
-47.513546	0.670116	1.000000
-47.513546	0.670117	1.000000
-47.513546	0.670118	1.000000
-47.513300	0.654450	1.000000
-47.513300	0.654451	1.000000
-47.513300	0.654452	1.000000
-47.513055	0.638784	1.000000
-47.513055	0.638785	1.000000
-47.513055	0.638786	1.000000
-47.512933	0.631022	1.000000
-47.512933	0.631023	1.000000
-47.512933	0.631024	1.000000
-47.512878	0.627507	1.000000
-47.512878	0.627508	1.000000
-47.512878	0.627509	1.000000
-47.512462	0.600944	1.000000
-47.512462	0.600945	1.000000
-47.512462	0.600946	1.000000
-47.512425	0.598559	1.000000
-47.512425	0.598560	1.000000
-47.512425	0.598561	1.000000
-47.512180	0.582893	1.000000
-47.512180	0.582894	1.000000
-47.512180	0.582895	1.000000
-47.511827	0.560399	1.000000
-47.511827	0.560400	1.000000
-47.511827	0.560401	1.000000
-47.511789	0.557977	1.000000
-47.511789	0.557978	1.000000
-47.511789	0.557979	1.000000
-47.511556	0.543080	1.000000
-47.511556	0.543081	1.000000
-47.511556	0.543082	1.000000
-47.511310	0.527414	1.000000
-47.511310	0.527415	1.000000
-47.511311	0.527416	1.000000
-47.511065	0.511746	1.000000
-47.511065	0.511747	1.000000
-47.511065	0.511748	1.000000
-47.510754	0.491883	1.000000
-47.510754	0.491884	1.000000
-47.510754	0.491885	1.000000
-47.510631	0.484066	1.000000
-47.510631	0.484067	1.000000
-47.510631	0.484068	1.000000
-47.510386	0.468401	1.000000
-47.510386	0.468402	1.000000
-47.510386	0.468403	1.000000
-47.510282	0.461761	1.000000
